carriage_id,comfort_indicator,value,timestamp
1,crowd,3.0,2022-10-21 00:05:10
1,crowd,3.0,2022-10-21 00:05:25
1,crowd,3.0,2022-10-21 00:05:31
1,crowd,2.0,2022-10-21 00:08:04
1,crowd,1.0,2022-10-21 00:12:19
1,crowd,0.0,2022-10-21 00:13:51
1,crowd,0.0,2022-10-21 00:19:30
1,crowd,0.0,2022-10-21 00:19:44
1,crowd,0.0,2022-10-21 00:20:17
1,crowd,0.0,2022-10-21 00:26:12
1,crowd,0.0,2022-10-21 00:26:25
1,crowd,0.0,2022-10-21 00:27:54
1,crowd,0.0,2022-10-21 00:28:21
1,crowd,0.0,2022-10-21 00:29:27
1,crowd,0.0,2022-10-21 00:31:45
1,crowd,0.0,2022-10-21 00:56:57
1,crowd,0.0,2022-10-21 01:03:57
1,crowd,0.0,2022-10-21 01:07:00
1,crowd,0.0,2022-10-21 01:10:01
1,crowd,0.0,2022-10-21 01:17:38
1,crowd,0.0,2022-10-21 01:33:18
1,crowd,0.0,2022-10-21 01:35:58
1,crowd,0.0,2022-10-21 01:44:15
1,crowd,0.0,2022-10-21 01:50:59
1,crowd,0.0,2022-10-21 01:55:45
1,crowd,0.0,2022-10-21 02:08:53
1,crowd,0.0,2022-10-21 02:12:43
1,crowd,0.0,2022-10-21 02:17:08
1,crowd,0.0,2022-10-21 02:17:36
1,crowd,0.0,2022-10-21 02:28:56
1,crowd,0.0,2022-10-21 02:40:30
1,crowd,0.0,2022-10-21 02:41:09
1,crowd,0.0,2022-10-21 02:46:19
1,crowd,0.0,2022-10-21 02:49:37
1,crowd,0.0,2022-10-21 02:58:55
1,crowd,0.0,2022-10-21 03:26:29
1,crowd,0.0,2022-10-21 03:26:32
1,crowd,0.0,2022-10-21 03:26:56
1,crowd,0.0,2022-10-21 03:30:59
1,crowd,0.0,2022-10-21 03:31:03
1,crowd,0.0,2022-10-21 03:32:44
1,crowd,0.0,2022-10-21 03:33:40
1,crowd,0.0,2022-10-21 03:35:59
1,crowd,0.0,2022-10-21 03:37:31
1,crowd,0.0,2022-10-21 03:37:38
1,crowd,0.0,2022-10-21 03:49:40
1,crowd,0.0,2022-10-21 03:52:08
1,crowd,0.0,2022-10-21 03:58:58
1,crowd,0.0,2022-10-21 04:00:33
1,crowd,0.0,2022-10-21 04:16:56
1,crowd,0.0,2022-10-21 04:21:14
1,crowd,0.0,2022-10-21 04:25:37
1,crowd,0.0,2022-10-21 04:26:40
1,crowd,0.0,2022-10-21 04:33:47
1,crowd,0.0,2022-10-21 04:35:17
1,crowd,0.0,2022-10-21 04:55:43
1,crowd,0.0,2022-10-21 05:13:09
1,crowd,0.0,2022-10-21 05:31:17
1,crowd,0.0,2022-10-21 05:34:18
1,crowd,0.0,2022-10-21 05:39:06
1,crowd,1.0,2022-10-21 05:49:28
1,crowd,2.0,2022-10-21 05:58:08
1,crowd,3.0,2022-10-21 06:00:31
1,crowd,3.0,2022-10-21 06:01:41
1,crowd,3.0,2022-10-21 06:01:49
1,crowd,5.0,2022-10-21 06:05:27
1,crowd,6.0,2022-10-21 06:07:45
1,crowd,6.0,2022-10-21 06:12:17
1,crowd,6.0,2022-10-21 06:14:46
1,crowd,5.0,2022-10-21 06:15:31
1,crowd,7.0,2022-10-21 06:21:48
1,crowd,7.0,2022-10-21 06:33:34
1,crowd,9.0,2022-10-21 06:35:38
1,crowd,13.0,2022-10-21 06:46:37
1,crowd,11.0,2022-10-21 06:49:13
1,crowd,10.0,2022-10-21 06:49:41
1,crowd,13.0,2022-10-21 06:53:05
1,crowd,12.0,2022-10-21 06:57:24
1,crowd,16.0,2022-10-21 07:03:50
1,crowd,17.0,2022-10-21 07:07:40
1,crowd,17.0,2022-10-21 07:09:53
1,crowd,17.0,2022-10-21 07:12:26
1,crowd,17.0,2022-10-21 07:13:44
1,crowd,20.0,2022-10-21 07:23:47
1,crowd,21.0,2022-10-21 07:27:01
1,crowd,25.0,2022-10-21 07:42:40
1,crowd,27.0,2022-10-21 08:04:48
1,crowd,31.0,2022-10-21 08:37:35
1,crowd,30.0,2022-10-21 08:46:05
1,crowd,29.0,2022-10-21 08:53:35
1,crowd,27.0,2022-10-21 08:56:16
